ID,착과량(int)
TEST_0000,249
TEST_0001,748
TEST_0002,153
TEST_0003,454
TEST_0004,675
TEST_0005,292
TEST_0006,79
TEST_0007,23
TEST_0008,364
TEST_0009,224
TEST_0010,558
TEST_0011,746
TEST_0012,449
TEST_0013,373
TEST_0014,80
TEST_0015,123
TEST_0016,486
TEST_0017,420
TEST_0018,278
TEST_0019,563
TEST_0020,238
TEST_0021,348
TEST_0022,446
TEST_0023,240
TEST_0024,154
TEST_0025,636
TEST_0026,164
TEST_0027,764
TEST_0028,631
TEST_0029,452
TEST_0030,40
TEST_0031,579
TEST_0032,657
TEST_0033,555
TEST_0034,556
TEST_0035,352
TEST_0036,242
TEST_0037,654
TEST_0038,28
TEST_0039,448
TEST_0040,375
TEST_0041,141
TEST_0042,740
TEST_0043,100
TEST_0044,599
TEST_0045,328
TEST_0046,755
TEST_0047,491
TEST_0048,354
TEST_0049,452
TEST_0050,543
TEST_0051,649
TEST_0052,373
TEST_0053,451
TEST_0054,351
TEST_0055,163
TEST_0056,753
TEST_0057,534
TEST_0058,553
TEST_0059,536
TEST_0060,448
TEST_0061,48
TEST_0062,567
TEST_0063,344
TEST_0064,528
TEST_0065,356
TEST_0066,401
TEST_0067,443
TEST_0068,141
TEST_0069,655
TEST_0070,760
TEST_0071,742
TEST_0072,659
TEST_0073,242
TEST_0074,145
TEST_0075,246
TEST_0076,151
TEST_0077,680
TEST_0078,759
TEST_0079,343
TEST_0080,259
TEST_0081,49
TEST_0082,56
TEST_0083,653
TEST_0084,634
TEST_0085,524
TEST_0086,245
TEST_0087,344
TEST_0088,39
TEST_0089,136
TEST_0090,37
TEST_0091,377
TEST_0092,537
TEST_0093,541
TEST_0094,553
TEST_0095,361
TEST_0096,244
TEST_0097,260
TEST_0098,221
TEST_0099,640
TEST_0100,690
TEST_0101,260
TEST_0102,443
TEST_0103,568
TEST_0104,203
TEST_0105,751
TEST_0106,154
TEST_0107,66
TEST_0108,455
TEST_0109,243
TEST_0110,646
TEST_0111,248
TEST_0112,561
TEST_0113,450
TEST_0114,714
TEST_0115,154
TEST_0116,685
TEST_0117,649
TEST_0118,352
TEST_0119,475
TEST_0120,155
TEST_0121,441
TEST_0122,339
TEST_0123,556
TEST_0124,732
TEST_0125,558
TEST_0126,302
TEST_0127,553
TEST_0128,547
TEST_0129,347
TEST_0130,71
TEST_0131,240
TEST_0132,465
TEST_0133,338
TEST_0134,130
TEST_0135,246
TEST_0136,768
TEST_0137,285
TEST_0138,158
TEST_0139,523
TEST_0140,767
TEST_0141,749
TEST_0142,246
TEST_0143,434
TEST_0144,31
TEST_0145,552
TEST_0146,270
TEST_0147,166
TEST_0148,138
TEST_0149,381
TEST_0150,610
TEST_0151,645
TEST_0152,756
TEST_0153,164
TEST_0154,541
TEST_0155,750
TEST_0156,511
TEST_0157,319
TEST_0158,148
TEST_0159,247
TEST_0160,537
TEST_0161,259
TEST_0162,238
TEST_0163,31
TEST_0164,543
TEST_0165,545
TEST_0166,592
TEST_0167,650
TEST_0168,557
TEST_0169,381
TEST_0170,656
TEST_0171,535
TEST_0172,458
TEST_0173,255
TEST_0174,765
TEST_0175,153
TEST_0176,268
TEST_0177,365
TEST_0178,147
TEST_0179,332
TEST_0180,261
TEST_0181,361
TEST_0182,461
TEST_0183,258
TEST_0184,756
TEST_0185,547
TEST_0186,334
TEST_0187,660
TEST_0188,633
TEST_0189,226
TEST_0190,652
TEST_0191,156
TEST_0192,352
TEST_0193,638
TEST_0194,645
TEST_0195,737
TEST_0196,266
TEST_0197,131
TEST_0198,252
TEST_0199,17
TEST_0200,132
TEST_0201,333
TEST_0202,249
TEST_0203,151
TEST_0204,452
TEST_0205,345
TEST_0206,57
TEST_0207,294
TEST_0208,272
TEST_0209,432
TEST_0210,450
TEST_0211,163
TEST_0212,252
TEST_0213,581
TEST_0214,356
TEST_0215,22
TEST_0216,760
TEST_0217,153
TEST_0218,451
TEST_0219,445
TEST_0220,154
TEST_0221,357
TEST_0222,555
TEST_0223,273
TEST_0224,553
TEST_0225,447
TEST_0226,534
TEST_0227,69
TEST_0228,631
TEST_0229,344
TEST_0230,514
TEST_0231,647
TEST_0232,447
TEST_0233,154
TEST_0234,375
TEST_0235,444
TEST_0236,426
TEST_0237,361
TEST_0238,141
TEST_0239,633
TEST_0240,613
TEST_0241,356
TEST_0242,306
TEST_0243,137
TEST_0244,646
TEST_0245,341
TEST_0246,351
TEST_0247,456
TEST_0248,616
TEST_0249,685
TEST_0250,236
TEST_0251,42
TEST_0252,645
TEST_0253,340
TEST_0254,147
TEST_0255,347
TEST_0256,255
TEST_0257,262
TEST_0258,256
TEST_0259,29
TEST_0260,549
TEST_0261,148
TEST_0262,351
TEST_0263,351
TEST_0264,27
TEST_0265,226
TEST_0266,380
TEST_0267,641
TEST_0268,555
TEST_0269,534
TEST_0270,344
TEST_0271,349
TEST_0272,434
TEST_0273,747
TEST_0274,33
TEST_0275,57
TEST_0276,365
TEST_0277,74
TEST_0278,249
TEST_0279,36
TEST_0280,602
TEST_0281,231
TEST_0282,23
TEST_0283,144
TEST_0284,673
TEST_0285,649
TEST_0286,28
TEST_0287,637
TEST_0288,553
TEST_0289,348
TEST_0290,575
TEST_0291,251
TEST_0292,674
TEST_0293,623
TEST_0294,443
TEST_0295,448
TEST_0296,673
TEST_0297,234
TEST_0298,199
TEST_0299,247
TEST_0300,240
TEST_0301,730
TEST_0302,144
TEST_0303,447
TEST_0304,505
TEST_0305,446
TEST_0306,99
TEST_0307,580
TEST_0308,754
TEST_0309,257
TEST_0310,47
TEST_0311,626
TEST_0312,438
TEST_0313,324
TEST_0314,702
TEST_0315,348
TEST_0316,427
TEST_0317,88
TEST_0318,439
TEST_0319,648
TEST_0320,241
TEST_0321,347
TEST_0322,562
TEST_0323,255
TEST_0324,359
TEST_0325,588
TEST_0326,69
TEST_0327,635
TEST_0328,663
TEST_0329,335
TEST_0330,740
TEST_0331,60
TEST_0332,248
TEST_0333,360
TEST_0334,236
TEST_0335,149
TEST_0336,23
TEST_0337,442
TEST_0338,251
TEST_0339,251
TEST_0340,740
TEST_0341,261
TEST_0342,45
TEST_0343,242
TEST_0344,552
TEST_0345,446
TEST_0346,148
TEST_0347,295
TEST_0348,51
TEST_0349,640
TEST_0350,659
TEST_0351,474
TEST_0352,450
TEST_0353,351
TEST_0354,46
TEST_0355,172
TEST_0356,386
TEST_0357,553
TEST_0358,199
TEST_0359,448
TEST_0360,203
TEST_0361,167
TEST_0362,397
TEST_0363,174
TEST_0364,258
TEST_0365,640
TEST_0366,248
TEST_0367,638
TEST_0368,245
TEST_0369,153
TEST_0370,366
TEST_0371,242
TEST_0372,130
TEST_0373,549
TEST_0374,100
TEST_0375,654
TEST_0376,154
TEST_0377,356
TEST_0378,335
TEST_0379,529
TEST_0380,449
TEST_0381,658
TEST_0382,581
TEST_0383,360
TEST_0384,344
TEST_0385,126
TEST_0386,544
TEST_0387,716
TEST_0388,661
TEST_0389,145
TEST_0390,28
TEST_0391,334
TEST_0392,760
TEST_0393,193
TEST_0394,150
TEST_0395,336
TEST_0396,334
TEST_0397,169
TEST_0398,166
TEST_0399,440
TEST_0400,760
TEST_0401,337
TEST_0402,462
TEST_0403,556
TEST_0404,449
TEST_0405,155
TEST_0406,245
TEST_0407,135
TEST_0408,685
TEST_0409,557
TEST_0410,364
TEST_0411,313
TEST_0412,649
TEST_0413,450
TEST_0414,368
TEST_0415,110
TEST_0416,339
TEST_0417,247
TEST_0418,558
TEST_0419,471
TEST_0420,244
TEST_0421,536
TEST_0422,750
TEST_0423,82
TEST_0424,345
TEST_0425,196
TEST_0426,355
TEST_0427,648
TEST_0428,757
TEST_0429,159
TEST_0430,343
TEST_0431,451
TEST_0432,752
TEST_0433,364
TEST_0434,456
TEST_0435,369
TEST_0436,622
TEST_0437,445
TEST_0438,54
TEST_0439,235
TEST_0440,243
TEST_0441,357
TEST_0442,469
TEST_0443,35
TEST_0444,325
TEST_0445,145
TEST_0446,324
TEST_0447,32
TEST_0448,744
TEST_0449,457
TEST_0450,343
TEST_0451,398
TEST_0452,250
TEST_0453,20
TEST_0454,124
TEST_0455,376
TEST_0456,246
TEST_0457,651
TEST_0458,751
TEST_0459,361
TEST_0460,113
TEST_0461,428
TEST_0462,32
TEST_0463,419
TEST_0464,644
TEST_0465,50
TEST_0466,641
TEST_0467,652
TEST_0468,459
TEST_0469,654
TEST_0470,162
TEST_0471,341
TEST_0472,245
TEST_0473,216
TEST_0474,15
TEST_0475,447
TEST_0476,444
TEST_0477,33
TEST_0478,118
TEST_0479,443
TEST_0480,152
TEST_0481,164
TEST_0482,580
TEST_0483,518
TEST_0484,760
TEST_0485,405
TEST_0486,149
TEST_0487,754
TEST_0488,350
TEST_0489,257
TEST_0490,245
TEST_0491,358
TEST_0492,247
TEST_0493,163
TEST_0494,266
TEST_0495,648
TEST_0496,56
TEST_0497,619
TEST_0498,613
TEST_0499,111
TEST_0500,453
TEST_0501,642
TEST_0502,191
TEST_0503,653
TEST_0504,542
TEST_0505,268
TEST_0506,51
TEST_0507,569
TEST_0508,337
TEST_0509,248
TEST_0510,319
TEST_0511,48
TEST_0512,353
TEST_0513,547
TEST_0514,256
TEST_0515,353
TEST_0516,347
TEST_0517,624
TEST_0518,66
TEST_0519,30
TEST_0520,502
TEST_0521,529
TEST_0522,763
TEST_0523,455
TEST_0524,753
TEST_0525,547
TEST_0526,639
TEST_0527,550
TEST_0528,459
TEST_0529,211
TEST_0530,203
TEST_0531,653
TEST_0532,572
TEST_0533,45
TEST_0534,24
TEST_0535,742
TEST_0536,708
TEST_0537,631
TEST_0538,245
TEST_0539,549
