ID,착과량(int)
TEST_0000,243
TEST_0001,754
TEST_0002,154
TEST_0003,446
TEST_0004,684
TEST_0005,275
TEST_0006,59
TEST_0007,31
TEST_0008,358
TEST_0009,238
TEST_0010,556
TEST_0011,755
TEST_0012,451
TEST_0013,379
TEST_0014,73
TEST_0015,141
TEST_0016,466
TEST_0017,414
TEST_0018,244
TEST_0019,577
TEST_0020,246
TEST_0021,348
TEST_0022,449
TEST_0023,252
TEST_0024,154
TEST_0025,651
TEST_0026,154
TEST_0027,754
TEST_0028,631
TEST_0029,445
TEST_0030,33
TEST_0031,585
TEST_0032,653
TEST_0033,553
TEST_0034,559
TEST_0035,353
TEST_0036,250
TEST_0037,646
TEST_0038,23
TEST_0039,449
TEST_0040,378
TEST_0041,154
TEST_0042,742
TEST_0043,94
TEST_0044,599
TEST_0045,340
TEST_0046,753
TEST_0047,466
TEST_0048,355
TEST_0049,447
TEST_0050,546
TEST_0051,648
TEST_0052,415
TEST_0053,448
TEST_0054,370
TEST_0055,160
TEST_0056,751
TEST_0057,542
TEST_0058,565
TEST_0059,547
TEST_0060,450
TEST_0061,46
TEST_0062,547
TEST_0063,347
TEST_0064,539
TEST_0065,347
TEST_0066,449
TEST_0067,448
TEST_0068,149
TEST_0069,683
TEST_0070,746
TEST_0071,744
TEST_0072,649
TEST_0073,249
TEST_0074,150
TEST_0075,250
TEST_0076,153
TEST_0077,646
TEST_0078,744
TEST_0079,346
TEST_0080,255
TEST_0081,51
TEST_0082,56
TEST_0083,648
TEST_0084,628
TEST_0085,499
TEST_0086,248
TEST_0087,352
TEST_0088,52
TEST_0089,147
TEST_0090,46
TEST_0091,381
TEST_0092,541
TEST_0093,543
TEST_0094,538
TEST_0095,344
TEST_0096,250
TEST_0097,243
TEST_0098,238
TEST_0099,642
TEST_0100,711
TEST_0101,251
TEST_0102,451
TEST_0103,555
TEST_0104,224
TEST_0105,753
TEST_0106,152
TEST_0107,55
TEST_0108,451
TEST_0109,242
TEST_0110,647
TEST_0111,334
TEST_0112,570
TEST_0113,448
TEST_0114,704
TEST_0115,154
TEST_0116,652
TEST_0117,651
TEST_0118,352
TEST_0119,466
TEST_0120,155
TEST_0121,446
TEST_0122,342
TEST_0123,545
TEST_0124,742
TEST_0125,555
TEST_0126,272
TEST_0127,557
TEST_0128,542
TEST_0129,349
TEST_0130,51
TEST_0131,245
TEST_0132,465
TEST_0133,349
TEST_0134,109
TEST_0135,245
TEST_0136,756
TEST_0137,274
TEST_0138,154
TEST_0139,548
TEST_0140,758
