ID,착과량(int)
TEST_0000,249
TEST_0001,749
TEST_0002,155
TEST_0003,439
TEST_0004,694
TEST_0005,283
TEST_0006,69
TEST_0007,31
TEST_0008,358
TEST_0009,229
TEST_0010,573
TEST_0011,747
TEST_0012,445
TEST_0013,376
TEST_0014,79
TEST_0015,145
TEST_0016,470
TEST_0017,412
TEST_0018,245
TEST_0019,574
TEST_0020,252
TEST_0021,346
TEST_0022,450
TEST_0023,250
TEST_0024,156
TEST_0025,642
TEST_0026,175
TEST_0027,756
TEST_0028,634
TEST_0029,448
TEST_0030,30
TEST_0031,579
TEST_0032,653
TEST_0033,556
TEST_0034,556
TEST_0035,355
TEST_0036,247
TEST_0037,671
TEST_0038,10
TEST_0039,447
TEST_0040,371
TEST_0041,155
TEST_0042,740
TEST_0043,85
TEST_0044,594
TEST_0045,343
TEST_0046,748
TEST_0047,488
TEST_0048,357
TEST_0049,460
TEST_0050,538
TEST_0051,644
TEST_0052,412
TEST_0053,442
TEST_0054,363
TEST_0055,164
TEST_0056,748
TEST_0057,538
TEST_0058,567
TEST_0059,539
TEST_0060,440
TEST_0061,53
TEST_0062,573
TEST_0063,346
TEST_0064,534
TEST_0065,339
TEST_0066,453
TEST_0067,451
TEST_0068,141
TEST_0069,680
TEST_0070,761
TEST_0071,758
TEST_0072,656
TEST_0073,249
TEST_0074,145
TEST_0075,260
TEST_0076,154
TEST_0077,640
TEST_0078,754
TEST_0079,344
TEST_0080,259
TEST_0081,41
TEST_0082,74
TEST_0083,641
TEST_0084,625
TEST_0085,509
TEST_0086,252
TEST_0087,347
TEST_0088,45
TEST_0089,142
TEST_0090,41
TEST_0091,379
TEST_0092,535
TEST_0093,540
TEST_0094,539
TEST_0095,353
TEST_0096,244
TEST_0097,251
TEST_0098,229
TEST_0099,644
TEST_0100,704
TEST_0101,254
TEST_0102,442
TEST_0103,547
TEST_0104,226
TEST_0105,759
TEST_0106,156
TEST_0107,59
TEST_0108,453
TEST_0109,246
TEST_0110,646
TEST_0111,320
TEST_0112,577
TEST_0113,450
TEST_0114,698
TEST_0115,157
TEST_0116,662
TEST_0117,651
TEST_0118,361
TEST_0119,472
TEST_0120,153
TEST_0121,428
TEST_0122,341
TEST_0123,563
TEST_0124,738
TEST_0125,552
TEST_0126,281
TEST_0127,560
TEST_0128,539
TEST_0129,349
TEST_0130,62
TEST_0131,242
TEST_0132,466
TEST_0133,348
TEST_0134,114
TEST_0135,255
TEST_0136,749
TEST_0137,281
TEST_0138,152
TEST_0139,539
TEST_0140,766
TEST_0141,751
TEST_0142,250
TEST_0143,447
TEST_0144,28
TEST_0145,552
TEST_0146,255
TEST_0147,184
TEST_0148,146
TEST_0149,402
TEST_0150,587
TEST_0151,643
TEST_0152,755
TEST_0153,163
TEST_0154,538
TEST_0155,743
TEST_0156,523
TEST_0157,334
TEST_0158,148
TEST_0159,247
TEST_0160,538
TEST_0161,260
TEST_0162,215
TEST_0163,34
TEST_0164,534
TEST_0165,547
TEST_0166,604
TEST_0167,638
TEST_0168,557
TEST_0169,358
TEST_0170,658
TEST_0171,538
TEST_0172,459
TEST_0173,249
TEST_0174,743
TEST_0175,146
TEST_0176,259
TEST_0177,362
TEST_0178,154
TEST_0179,343
TEST_0180,252
TEST_0181,354
TEST_0182,454
TEST_0183,242
TEST_0184,760
TEST_0185,549
TEST_0186,336
TEST_0187,658
TEST_0188,636
TEST_0189,220
TEST_0190,643
TEST_0191,155
TEST_0192,349
TEST_0193,651
TEST_0194,638
TEST_0195,735
TEST_0196,260
TEST_0197,123
TEST_0198,252
TEST_0199,18
TEST_0200,145
TEST_0201,352
TEST_0202,253
TEST_0203,153
TEST_0204,445
TEST_0205,341
TEST_0206,55
TEST_0207,302
TEST_0208,274
TEST_0209,457
TEST_0210,462
TEST_0211,170
TEST_0212,247
TEST_0213,576
TEST_0214,349
TEST_0215,30
TEST_0216,757
TEST_0217,149
TEST_0218,454
TEST_0219,444
TEST_0220,162
TEST_0221,345
TEST_0222,558
TEST_0223,249
TEST_0224,553
TEST_0225,451
TEST_0226,543
TEST_0227,54
TEST_0228,642
TEST_0229,362
TEST_0230,444
TEST_0231,641
TEST_0232,447
TEST_0233,157
TEST_0234,369
TEST_0235,449
TEST_0236,430
TEST_0237,354
TEST_0238,136
TEST_0239,645
TEST_0240,617
TEST_0241,352
TEST_0242,276
TEST_0243,155
TEST_0244,653
TEST_0245,309
TEST_0246,350
TEST_0247,449
TEST_0248,624
TEST_0249,674
TEST_0250,250
TEST_0251,40
TEST_0252,643
TEST_0253,345
TEST_0254,164
TEST_0255,343
TEST_0256,267
TEST_0257,256
TEST_0258,263
TEST_0259,27
TEST_0260,549
TEST_0261,148
TEST_0262,346
TEST_0263,360
TEST_0264,16
TEST_0265,213
TEST_0266,391
TEST_0267,619
TEST_0268,553
TEST_0269,538
TEST_0270,349
TEST_0271,346
TEST_0272,446
TEST_0273,742
TEST_0274,35
TEST_0275,41
TEST_0276,345
TEST_0277,60
TEST_0278,249
TEST_0279,27
TEST_0280,613
TEST_0281,240
TEST_0282,38
TEST_0283,151
TEST_0284,693
TEST_0285,652
TEST_0286,24
TEST_0287,678
TEST_0288,556
TEST_0289,342
TEST_0290,571
TEST_0291,250
TEST_0292,706
TEST_0293,631
TEST_0294,440
TEST_0295,453
TEST_0296,652
TEST_0297,238
TEST_0298,192
TEST_0299,249
TEST_0300,244
TEST_0301,735
TEST_0302,150
TEST_0303,449
TEST_0304,510
TEST_0305,452
TEST_0306,132
TEST_0307,566
TEST_0308,739
TEST_0309,266
TEST_0310,39
TEST_0311,626
TEST_0312,449
TEST_0313,342
TEST_0314,652
TEST_0315,330
TEST_0316,435
