ID,monthlyRent(us_dollar)
Test_0000,185.40394035478062
Test_0001,256.42617239890274
Test_0002,326.1624440259264
Test_0003,174.64069679120084
Test_0004,79.09498070956452
Test_0005,133.0621671076266
Test_0006,484.4182978527799
Test_0007,272.49797614642733
Test_0008,360.4797162609253
Test_0009,228.09397807250383
Test_0010,923.3697942061583
Test_0011,297.7162403009768
Test_0012,154.54312163992674
Test_0013,337.7389115416674
Test_0014,263.89702083026293
Test_0015,156.31063135756247
Test_0016,110.28828164694325
Test_0017,142.73340564495336
Test_0018,433.46499325691406
Test_0019,294.07476823262124
Test_0020,210.75375226800517
Test_0021,164.2527831005088
Test_0022,189.88349492497096
Test_0023,332.160977149391
Test_0024,174.99975918760936
Test_0025,693.2737160882232
Test_0026,171.54616580967246
Test_0027,249.78513765552213
Test_0028,136.91295018647384
Test_0029,390.5075193244925
Test_0030,203.84090360050357
Test_0031,390.4393411127767
Test_0032,326.6171093567044
Test_0033,352.92032312308305
Test_0034,239.14224215897713
Test_0035,310.85348823401785
Test_0036,324.8929446990237
Test_0037,170.1837685617523
Test_0038,215.1055929048268
Test_0039,791.8649847257531
Test_0040,306.6285186108912
Test_0041,120.03013766303211
Test_0042,197.34349526636942
Test_0043,450.84152146491846
Test_0044,268.21652086903197
Test_0045,462.9729888578217
Test_0046,293.2703530478209
Test_0047,160.44980125262845
Test_0048,168.1590391998371
Test_0049,929.1751913134261
Test_0050,546.6869900746881
Test_0051,284.56075862824235
Test_0052,164.8561433817682
Test_0053,374.9647441933343
Test_0054,378.61373985269734
Test_0055,198.7889836013496
Test_0056,358.6049686675965
Test_0057,417.409454353892
Test_0058,148.8115250487151
Test_0059,564.8360714423447
Test_0060,333.7173171688876
Test_0061,258.4570049078916
Test_0062,194.797451829571
Test_0063,164.92177418966708
Test_0064,874.1753296361592
Test_0065,194.36173215581007
Test_0066,255.3555210881868
Test_0067,514.0464637029351
Test_0068,584.7644088355305
Test_0069,213.05021854323738
Test_0070,876.2078603366382
Test_0071,239.46002277531676
Test_0072,105.43877855104215
Test_0073,428.1687813704668
Test_0074,81.34901377602971
Test_0075,135.2169713211768
Test_0076,173.2620286471442
Test_0077,246.34829442540564
Test_0078,512.7899401960167
Test_0079,425.0002091968526
Test_0080,419.96107358008544
Test_0081,465.6126587678033
Test_0082,362.61267692123636
Test_0083,241.49107711876871
Test_0084,480.810904093914
Test_0085,101.99719048249172
Test_0086,262.70767173447564
Test_0087,336.8276032792958
Test_0088,392.478430338267
Test_0089,175.13275991402807
Test_0090,215.734095311627
Test_0091,604.8498195435811
Test_0092,287.0405347740765
Test_0093,237.7111155097294
Test_0094,185.41340382422803
Test_0095,81.38572488805677
Test_0096,170.87529905910554
Test_0097,276.42560843950326
Test_0098,495.7586109749294
Test_0099,921.88878337444
Test_0100,126.04771127499396
Test_0101,303.8779325128255
Test_0102,136.20108742826923
Test_0103,242.967546628719
Test_0104,267.8603113068823
Test_0105,103.9948668485273
Test_0106,353.62932850319766
Test_0107,162.51186640115577
Test_0108,252.76894231095815
Test_0109,178.869234956968
Test_0110,762.7866180827646
Test_0111,121.20930336932948
Test_0112,171.54616580967246
Test_0113,222.8678629901245
Test_0114,267.22658207746895
Test_0115,443.9768550480476
Test_0116,419.46575545543664
Test_0117,283.93616449937923
Test_0118,179.095996704761
Test_0119,289.4262127399453
Test_0120,372.9263099463587
Test_0121,214.13563875794654
Test_0122,348.08758488301163
Test_0123,110.13482807287866
Test_0124,254.03066047797415
Test_0125,263.4913601101413
Test_0126,376.7230136333401
Test_0127,212.56667988772898
Test_0128,789.4407919765982
Test_0129,165.94807552978935
Test_0130,258.30461881382104
Test_0131,411.3477324662334
Test_0132,960.4557602462794
Test_0133,332.47661339827755
Test_0134,224.92996049900813
Test_0135,380.15030862292156
Test_0136,264.9912445034652
Test_0137,149.0123139758982
Test_0138,699.4160560046404
Test_0139,98.8246349158561
Test_0140,268.2919199197633
Test_0141,486.5514249438577
Test_0142,241.9226638101611
Test_0143,186.16691125392552
Test_0144,136.02983592382344
Test_0145,397.6419011759665
Test_0146,159.81040834832555
Test_0147,239.2828490317173
Test_0148,454.1334922551737
Test_0149,348.52917659795787
Test_0150,747.2453521951214
Test_0151,158.24338214015182
Test_0152,162.12707437289376
Test_0153,182.9447944106858
Test_0154,106.93612805167704
Test_0155,173.78195629573483
Test_0156,364.2488203239814
Test_0157,199.70833148975456
Test_0158,305.9231210113789
Test_0159,150.065215101935
Test_0160,604.8233238271388
Test_0161,180.83871225804106
Test_0162,252.00305903228858
Test_0163,405.23906652843107
Test_0164,163.57856830850798
Test_0165,261.6537054474368
Test_0166,462.03605271905286
Test_0167,374.9250192590457
Test_0168,138.55690347023503
Test_0169,416.0591010087333
Test_0170,201.42383648352632
Test_0171,156.47065647450057
Test_0172,214.2474483179095
Test_0173,491.391255498065
Test_0174,112.27406217403848
Test_0175,343.1152750561498
Test_0176,183.87298293597976
Test_0177,960.4557602462794
Test_0178,230.7331162868341
Test_0179,152.92333022821913
Test_0180,911.3786265308117
Test_0181,374.05327777975583
Test_0182,685.2703155424209
Test_0183,176.45850805772747
Test_0184,399.91170538739595
Test_0185,253.50030595766393
Test_0186,743.22592852765
Test_0187,162.69363582183698
Test_0188,149.31589868124595
Test_0189,211.77331409728083
Test_0190,362.76134398924347
Test_0191,143.02830272039822
Test_0192,284.3630346553086
Test_0193,216.94587685366974
Test_0194,475.60771021404094
Test_0195,399.756213951353
Test_0196,569.9703035342051
Test_0197,256.53648417253737
