,country,lat,lon
0,United States,37.09024,-95.712891
1,South Africa,-30.559482,22.937506
2,India,20.593684,78.96288
3,Ghana,7.946527,-1.023194
4,Burkina Faso,12.238333,-1.561593
5,United Kingdom,55.378051,-3.435973
6,Germany,51.165691,10.451526
7,Ethiopia,9.145000000000001,40.489673
8,Czech Republic,49.81749199999999,15.472962
9,Mexico,23.634501,-102.552784
10,Turkey,38.963745,35.243322
11,Australia,-25.274398,133.775136
12,France,46.227638,2.213749
13,Finland,61.92410999999999,25.748151
14,China,35.86166,104.195397
15,Canada,56.130366,-106.346771
16,Japan,36.204824,138.252924
17,Nigeria,9.081999,8.675277
18,Spain,40.46366700000001,-3.74922
19,Belgium,50.503887,4.469936
20,South Korea,35.907757,127.766922
21,Singapore,1.352083,103.819836
22,Italy,41.87194,12.56738
23,Romania,45.943161,24.96676
24,Argentina,-38.416097,-63.61667199999999
25,Venezuela,6.42375,-66.58973
26,Hong Kong,22.3193039,114.1693611
27,Russia,61.52401,105.318756
28,Ireland,53.1423672,-7.692053599999999
29,Nepal,28.394857,84.12400799999999
30,New Zealand,-40.900557,174.885971
31,Brazil,-14.235004,-51.92528
32,Greece,39.074208,21.824312
33,Jordan,30.585164,36.238414
34,Colombia,4.570868,-74.297333
35,Switzerland,46.818188,8.227511999999999
36,Israel,31.046051,34.851612
37,Taiwan,23.69781,120.960515
38,Bulgaria,42.733883,25.48583
39,Algeria,28.033886,1.659626
40,Poland,51.919438,19.145136
41,Saudi Arabia,23.885942,45.079162
42,Thailand,15.870032,100.992541
43,Indonesia,-0.789275,113.921327
44,Egypt,26.820553,30.802498
45,Denmark,56.26392,9.501785
46,Kuwait,29.31166,47.481766
47,Netherlands,52.132633,5.291265999999999
48,Malaysia,4.210484,101.975766
49,Vietnam,14.058324,108.277199
50,Hungary,47.162494,19.503304
51,Sweden,60.12816100000001,18.643501
52,Lebanon,33.854721,35.862285
53,Syria,34.80207499999999,38.996815
54,Philippines,12.879721,121.774017
55,Iceland,64.963051,-19.020835
56,United Arab Emirates,23.424076,53.847818
57,Norway,60.47202399999999,8.468945999999999
58,Qatar,25.354826,51.183884
59,Mauritius,-20.348404,57.55215200000001
60,Austria,47.516231,14.550072
61,Cameroon,7.369721999999999,12.354722
62,Palestine,31.952162,35.233154
63,Uruguay,-32.522779,-55.765835
64,Kenya,-0.023559,37.906193
65,Chile,-35.675147,-71.542969
66,Luxembourg,49.815273,6.129582999999999
67,Cambodia,12.565679,104.990963
68,Bangladesh,23.684994,90.356331
69,Portugal,39.39987199999999,-8.224454
70,Cayman Islands,19.3133,-81.2546
71,Senegal,14.497401,-14.452362
72,Serbia,44.016521,21.005859
73,Malta,35.937496,14.375416
74,Namibia,-22.95764,18.49041
75,Angola,-11.202692,17.873887
76,Peru,-9.189967,-75.015152
77,Mozambique,-18.665695,35.529562
78,Belarus,53.709807,27.953389
79,Zimbabwe,-19.015438,29.154857
80,Puerto Rico,18.220833,-66.590149
81,Pakistan,30.375321,69.34511599999999
82,Cyprus,35.126413,33.429859
83,Guatemala,15.783471,-90.23075899999999
84,Iraq,33.223191,43.679291
85,Malawi,-13.254308,34.301525
86,Paraguay,-23.442503,-58.443832
87,Croatia,45.1,15.2
88,Iran,32.427908,53.688046
89,West Germany,51.165691,10.451526
90,Albania,41.153332,20.168331
91,Georgia,32.1656221,-82.9000751
92,Soviet Union,,
93,Morocco,31.791702,-7.092619999999999
94,Slovakia,48.669026,19.699024
95,Ukraine,48.379433,31.16558
96,Bermuda,32.3078,-64.7505
97,Ecuador,-1.831239,-78.18340599999999
98,Armenia,40.069099,45.038189
99,Mongolia,46.862496,103.846656
100,Bahamas,25.03428,-77.39627999999999
101,Sri Lanka,7.873053999999999,80.77179699999999
102,Latvia,56.879635,24.603189
103,Liechtenstein,47.14103919999999,9.520935000000001
104,Cuba,21.521757,-77.781167
105,Nicaragua,12.865416,-85.207229
106,Slovenia,46.151241,14.995463
107,Dominican Republic,18.735693,-70.162651
108,Samoa,-13.759029,-172.104629
109,Azerbaijan,40.143105,47.576927
110,Botswana,-22.328474,24.684866
111,Vatican City,41.902916,12.453389
112,Jamaica,18.109581,-77.297508
113,Kazakhstan,48.019573,66.923684
114,Lithuania,55.169438,23.881275
115,Afghanistan,33.93911,67.709953
116,Somalia,5.152149,46.199616
117,Sudan,12.862807,30.217636
118,Panama,8.537981,-80.782127
119,Uganda,1.373333,32.290275
120,East Germany,,
121,Montenegro,42.708678,19.37439
